agree,agree_ratio,agreeance_text,allsides_page,bias,disagree,name,total_votes
210,2.625,Strongly Agrees,https://www.allsides.com/news-source/jezebel-media-bias,left,80,Jezebel,290
275,0.873015873,Somewhat Disagrees,https://www.allsides.com/news-source/journalists-resource,center,315,Journalist's Resource,590
0,0,Absolutely Disagrees,https://www.allsides.com/news-source/jstor-daily-media-bias,center,1,JSTOR Daily,0
198,1.025906736,Somewhat Agrees,https://www.allsides.com/news-source/jubilee-media-bias,center,193,Jubilee Media,391
1175,0.930324624,Somewhat Disagrees,https://www.allsides.com/news-source/judicial-watch,right-center,1263,Judicial Watch,2438
8,0.888888889,Somewhat Disagrees,https://www.allsides.com/news-source/kalworg-media-bias,center,9,KALW,17
68,0.819277108,Somewhat Disagrees,https://www.allsides.com/news-source/katu-media-bias,center,83,KATU,151
514,1.162895928,Somewhat Agrees,https://www.allsides.com/news-source/kqed,center,442,KQED,956
904,1.259052925,Somewhat Agrees,https://www.allsides.com/news-source/ksl,right,718,KSL,1622
313,1.003205128,Somewhat Agrees,https://www.allsides.com/news-source/las-vegas-sun,left-center,312,Las Vegas Sun,625
1,0.5,Strongly Disagrees,https://www.allsides.com/news-source/latino-rebels-media-bias,left,2,Latino Rebels,3
241,1.100456621,Somewhat Agrees,https://www.allsides.com/news-source/leesburg-today,right-center,219,Leesburg Today,460
579,1.269736842,Somewhat Agrees,https://www.allsides.com/news-source/left-major-publications,left,456,Left - Major Media Sources,1035
1,1,Neutral,https://www.allsides.com/news-source/lgbtq-nation-media-bias,left-center,1,LGBTQ Nation,1
364,1.037037037,Somewhat Agrees,https://www.allsides.com/news-source/lifehacker,center,351,Lifehacker,715
146,1.20661157,Somewhat Agrees,https://www.allsides.com/news-source/listen-first-project-media-bias,allsides,121,Listen First Project,267
310,1.455399061,Somewhat Agrees,https://www.allsides.com/news-source/live-action-news,right-center,213,Live Action News,523
207,1.156424581,Somewhat Agrees,https://www.allsides.com/news-source/longmont-times-call,left-center,179,Longmont Times-Call,386
4378,1.354160223,Somewhat Agrees,https://www.allsides.com/news-source/los-angeles-times-bias,left-center,3233,Los Angeles Times - latimes,7611
219,0.956331878,Somewhat Disagrees,https://www.allsides.com/news-source/louisville-courier-journal,left-center,229,Louisville Courier-Journal,448
1,0.5,Strongly Disagrees,https://www.allsides.com/news-source/making-sense-media-bias,center,2,Making Sense,3
214,0.457264957,Strongly Disagrees,https://www.allsides.com/news-source/marketwatch-media-bias,right-center,468,MarketWatch,682
471,2.221698113,Strongly Agrees,https://www.allsides.com/news-source/mashable,left,212,Mashable,683
86,0.781818182,Somewhat Disagrees,https://www.allsides.com/news-source/mcclatchydc-media-bias,center,110,McClatchyDC,196
2690,1.662546354,Agrees,https://www.allsides.com/news-source/media-matters-bias,left,1618,Media Matters,4308
1344,0.823025107,Somewhat Disagrees,https://www.allsides.com/news-source/media-research-center,right,1633,Media Research Center,2977
764,1.010582011,Somewhat Agrees,https://www.allsides.com/news-source/mediaite-bias,left-center,756,Mediaite,1520
338,0.949438202,Somewhat Disagrees,https://www.allsides.com/news-source/miami-herald,left-center,356,Miami Herald,694
593,1.996632997,Agrees,https://www.allsides.com/news-source/michellemalkincom,right,297,MichelleMalkin.com,890
253,1.095238095,Somewhat Agrees,https://www.allsides.com/news-source/michigan-daily,left-center,231,Michigan Daily,484
7,1.75,Agrees,https://www.allsides.com/news-source/military-times-media-bias,center,4,Military Times,11
1,0.5,Strongly Disagrees,https://www.allsides.com/news-source/misinformation-review-media-bias,center,2,Misinformation Review,3
99,0.883928571,Somewhat Disagrees,https://www.allsides.com/news-source/mismatchorg-media-bias,allsides,112,Mismatch,211
247,1.216748768,Somewhat Agrees,https://www.allsides.com/news-source/mit-news,center,203,MIT News,450
4,1.333333333,Somewhat Agrees,https://www.allsides.com/news-source/mit-media-bias,left,3,Mit,7
9159,6.053536021,Absolutely Agrees,https://www.allsides.com/news-source/mother-jones-bias,left,1513,Mother Jones,10672
10945,3.290739627,Absolutely Agrees,https://www.allsides.com/news-source/msnbc,left,3326,MSNBC,14271
101,0.627329193,Disagrees,https://www.allsides.com/news-source/mtv-news-online-media-bias,left-center,161,MTV News Online,262
1003,1.359078591,Somewhat Agrees,https://www.allsides.com/news-source/national-journal,center,738,National Journal,1741
12971,2.305545681,Strongly Agrees,https://www.allsides.com/news-source/national-review,right,5626,National Review,18597
21,1.75,Agrees,https://www.allsides.com/news-source/naturecom-media-bias,center,12,Nature,33
6635,0.865284298,Somewhat Disagrees,https://www.allsides.com/news-source/nbc-news-media-bias,left-center,7668,NBC News,14303
1299,0.929184549,Somewhat Disagrees,https://www.allsides.com/news-source/nbc-today-show,left-center,1398,NBC Today Show,2697
3,0.6,Disagrees,https://www.allsides.com/news-source/new-discourses-media-bias,center,5,New Discourses,8
42,0.933333333,Somewhat Disagrees,https://www.allsides.com/news-source/union-leader,center,45,New Hampshire Union Leader,87
1447,1.867096774,Agrees,https://www.allsides.com/news-source/new-republic,left,775,New Republic,2222
1224,2.197486535,Strongly Agrees,https://www.allsides.com/news-source/new-york-daily-news,left,557,New York Daily News,1781
1973,2.202008929,Strongly Agrees,https://www.allsides.com/news-source/new-york-magazine,left,896,New York Magazine - nymag,2869
6809,1.566728026,Agrees,https://www.allsides.com/news-source/new-york-post,right,4346,New York Post,11155
20301,0.676361819,Somewhat Disagrees,https://www.allsides.com/news-source/new-york-times,left-center,30015,New York Times - nytimes,50316
6707,3.326884921,Absolutely Agrees,https://www.allsides.com/news-source/new-york-times-opinion-media-bias,left,2016,New York Times  Opinion - nytimes,8723
409,1.809734513,Agrees,https://www.allsides.com/news-source/newsbusters,right,226,NewsBusters,635
7272,0.789662287,Somewhat Disagrees,https://www.allsides.com/news-source/newsmax,right-center,9209,Newsmax News,16481
117,1.602739726,Agrees,https://www.allsides.com/news-source/newsmax-opinion-media-bias,right,73,Newsmax Opinion,190
146,2,Agrees,https://www.allsides.com/news-source/newsonecom-media-bias,left,73,NewsOne,219
2452,0.82698145,Somewhat Disagrees,https://www.allsides.com/news-source/newsweek,left,2965,Newsweek,5417
54,3.857142857,Absolutely Agrees,https://www.allsides.com/news-source/newsy-media-bias,center,14,Newsy,68
6,6,Absolutely Agrees,https://www.allsides.com/news-source/newtrals-media-bias,center,1,Newtrals,7
31,1.347826087,Somewhat Agrees,https://www.allsides.com/news-source/nieman-lab-media-bias,center,23,Nieman Lab,54
213,0.812977099,Somewhat Disagrees,https://www.allsides.com/news-source/nmpoliticsnet,center,262,NMPolitics,475
3922,0.8952294,Somewhat Disagrees,https://www.allsides.com/news-source/npr-editorial,left-center,4381,NPR Editorial,8303
23457,1.249374168,Somewhat Agrees,https://www.allsides.com/news-source/npr-media-bias,center,18775,NPR Online News,42232
881,0.829566855,Somewhat Disagrees,https://www.allsides.com/news-source/one-america-news-network-media-bias,right-center,1062,One America News Network,1943
303,1.16091954,Somewhat Agrees,https://www.allsides.com/news-source/orange-county-register,right-center,261,Orange County Register,564
416,1.139726027,Somewhat Agrees,https://www.allsides.com/news-source/pacific-standard,left-center,365,Pacific Standard,781
1,1,Neutral,https://www.allsides.com/news-source/patchcom-media-bias,center,1,Patch.com,2
2624,1.354672173,Somewhat Agrees,https://www.allsides.com/news-source/pbs-newshour,center,1937,PBS NewsHour,4561
195,1.857142857,Agrees,https://www.allsides.com/news-source/peacock-panache,left,105,Peacock Panache,300
149,1.773809524,Agrees,https://www.allsides.com/news-source/physorg,center,84,Phys.org,233
2,2,Agrees,https://www.allsides.com/news-source/pinknews-media-bias,left,1,PinkNews,2
271,0.826219512,Somewhat Disagrees,https://www.allsides.com/news-source/pittsburgh-post-gazette,right-center,328,Pittsburgh Post-Gazette,599
255,1.281407035,Somewhat Agrees,https://www.allsides.com/news-source/pj-media-media-bias,right-center,199,PJ Media,454
17380,0.705443033,Somewhat Disagrees,https://www.allsides.com/news-source/politico-media-bias,left-center,24637,Politico,42017
989,2.91740413,Strongly Agrees,https://www.allsides.com/news-source/politicususa,left,339,PoliticusUSA,1328
2951,0.983338887,Somewhat Disagrees,https://www.allsides.com/news-source/politifact,left-center,3001,PolitiFact,5952
252,0.72,Somewhat Disagrees,https://www.allsides.com/news-source/portland-press-herarld,center,350,Portland Press Herald,602
37,0.880952381,Somewhat Disagrees,https://www.allsides.com/news-source/poynter-media-bias,center,42,Poynter,79
729,1.567741935,Agrees,https://www.allsides.com/news-source/pri-public-radio-international,center,465,PRI,1194
235,1.577181208,Agrees,https://www.allsides.com/news-source/progressive-voices-iowa,left,149,Progressive Voices of Iowa,384
191,0.927184466,Somewhat Disagrees,https://www.allsides.com/news-source/project-veritas-media-bias,right-center,206,Project Veritas,397
1215,1.458583433,Somewhat Agrees,https://www.allsides.com/news-source/propublica,left-center,833,ProPublica,2048
42,1.555555556,Agrees,https://www.allsides.com/news-source/psychology-today-media-bias,center,27,Psychology Today,69
202,0.930875576,Somewhat Disagrees,https://www.allsides.com/news-source/pxw-news,center,217,PXW News,419
616,1.011494253,Somewhat Agrees,https://www.allsides.com/news-source/quartz,center,609,Quartz,1225
420,0.628742515,Disagrees,https://www.allsides.com/news-source/quillette-media-bias,right-center,668,Quillette,1088
548,0.696315121,Somewhat Disagrees,https://www.allsides.com/news-source/rasmussen-reports,center,787,Rasmussen Reports,1335
861,1.961275626,Agrees,https://www.allsides.com/news-source/raw-story,left,439,Raw Story,1300
3435,0.95735786,Somewhat Disagrees,https://www.allsides.com/news-source/real-clear-politics,center,3588,RealClearPolitics,7023
6707,1.556509631,Agrees,https://www.allsides.com/news-source/reason,right-center,4309,Reason,11016
155,0.939393939,Somewhat Disagrees,https://www.allsides.com/news-source/record-journal,center,165,Record Journal,320
44,0.814814815,Somewhat Disagrees,https://www.allsides.com/news-source/red-racing-horses-media-bias,right,54,Red Racing Horses,98
721,2.59352518,Strongly Agrees,https://www.allsides.com/news-source/red-state,right,278,Red State,999
10520,1.762734584,Agrees,https://www.allsides.com/news-source/reuters,center,5968,Reuters,16488
265,1.193693694,Somewhat Agrees,https://www.allsides.com/news-source/richmond-times-dispatch,right-center,222,Richmond Times Dispatch,487
310,1.043771044,Somewhat Agrees,https://www.allsides.com/news-source/right-major-publications,right,297,Right - Major Media Sources,607
469,1.946058091,Agrees,https://www.allsides.com/news-source/right-side-news,right,241,Right Side News,710
422,2.038647343,Strongly Agrees,https://www.allsides.com/news-source/right-wing-news,right,207,Right Wing News,629
178,1.072289157,Somewhat Agrees,https://www.allsides.com/news-source/roll-call-media-bias,center,166,Roll Call,344
1594,3.487964989,Absolutely Agrees,https://www.allsides.com/news-source/rolling-stone,left,457,RollingStone,2051
11234,2.208808494,Strongly Agrees,https://www.allsides.com/news-source/salon,left,5086,Salon,16320
964,2.700280112,Strongly Agrees,https://www.allsides.com/news-source/san-francisco-chronicle,left,357,San Francisco Chronicle,1321
0,0,Absolutely Disagrees,https://www.allsides.com/news-source/san-gabriel-valley-tribune-media-bias,center,1,San Gabriel Valley Tribune,0
427,0.951002227,Somewhat Disagrees,https://www.allsides.com/news-source/san-jose-mercury-news,left-center,449,San Jose Mercury News,876
504,1.605095541,Agrees,https://www.allsides.com/news-source/science-daily,center,314,Science Daily,818
1174,1.857594937,Agrees,https://www.allsides.com/news-source/scientific-american,left-center,632,Scientific American,1806
2,0.666666667,Disagrees,https://www.allsides.com/news-source/scriberr-media-news-media-bias,center,3,Scriberr Media,5
4,2,Agrees,https://www.allsides.com/news-source/scriberr-media-news-media-bias-0,center,2,Scriberr Media,6
1,0.333333333,Strongly Disagrees,https://www.allsides.com/news-source/scriberr-media-opinioneditorial-media-bias,right-center,3,Scriberr Media - Opinion/Editorial,4
277,0.795977011,Somewhat Disagrees,https://www.allsides.com/news-source/sf-weekly,center,348,SF Weekly,625
477,0.919075145,Somewhat Disagrees,https://www.allsides.com/news-source/sf-gate,left-center,519,SFGate,996
152,1.048275862,Somewhat Agrees,https://www.allsides.com/news-source/sky-hi-daily-news,left-center,145,Sky-Hi Daily News,297
5592,1.951832461,Agrees,https://www.allsides.com/news-source/slate,left,2865,Slate,8457
178,0.751054852,Somewhat Disagrees,https://www.allsides.com/news-source/smerconish-media-bias,center,237,Smerconish,415
698,0.515890613,Disagrees,https://www.allsides.com/news-source/snopes,center,1353,Snopes,2051
464,2.138248848,Strongly Agrees,https://www.allsides.com/news-source/socialist-alternative,left,217,Socialist Alternative,681
410,2.135416667,Strongly Agrees,https://www.allsides.com/news-source/socialist-projectthe-bullet,left,192,Socialist Project/The Bullet,602
22,1.1,Somewhat Agrees,https://www.allsides.com/news-source/spectator-usa-media-bias,right,20,Spectator USA,42
221,2.302083333,Strongly Agrees,https://www.allsides.com/news-source/splinter-media-bias,left,96,Splinter,317
